pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
250,pair_250.npz,sagereg_regen,2000,0.961,0.1133863897032839,0.1694975334325603,True,0.889756419997866,1.6945319210726455,4.0,21149.0
251,pair_251.npz,sagereg_regen,2000,0.7825,0.1243025252293448,0.3014269527639874,True,0.8884691550010757,1.573861421093994,6.0,20701.0
252,pair_252.npz,sagereg_regen,2000,0.9095,0.4501600091474582,0.1251269600913595,True,0.90349473400056,1.6797060520610374,5.0,22283.0
253,pair_253.npz,sagereg_regen,2000,0.3615,0.1832794486005607,0.0450353903837515,True,0.8648933109980135,1.5415943725194834,2.0,28872.0
254,pair_254.npz,sagereg_regen,2000,0.596,0.449399505270371,0.0503707589934578,True,0.9909558339968498,1.5832201625415316,6.0,30430.0
255,pair_255.npz,sagereg_regen,2000,0.12,0.4787895501673369,0.1283217115459959,True,0.9776541410028584,1.962936834965162,6.0,33152.0
256,pair_256.npz,sagereg_regen,2000,0.0305,47.31710563826565,3.349500514234009,False,0.8530399609990127,2.3913323203673515,6.0,21168.0
257,pair_257.npz,sagereg_regen,2000,0.006,79.0126038935785,12.958614521375914,False,0.8392577300000994,1.5632711072050844,6.0,21263.0
258,pair_258.npz,sagereg_regen,2000,0.6465,0.4111206054853496,0.0817842194884859,True,0.9384410370003023,1.5174947402068024,2.0,31827.0
259,pair_259.npz,sagereg_regen,2000,0.786,0.2374328880858154,0.2242000005168205,True,1.0189306710017263,1.6613566574464054,6.0,31386.0
260,pair_260.npz,sagereg_regen,2000,0.844,0.7559281804619917,0.0882037878466891,True,0.8830415550000907,1.3797493998540045,6.0,21399.0
261,pair_261.npz,sagereg_regen,2000,0.6405,0.1192757847428136,0.3901485407065007,True,0.8416575880000892,1.3457535204520803,4.0,16667.0
262,pair_262.npz,sagereg_regen,2000,0.849,0.1082280357850164,0.2784401117385621,True,0.8605560889991466,1.4341107192641578,6.0,16727.0
263,pair_263.npz,sagereg_regen,2000,0.476,0.3621640269116825,0.5290651896673055,True,0.8737878280007862,1.5340353650330043,5.0,18491.0
264,pair_264.npz,sagereg_regen,2000,0.5835,0.5840186713664199,0.3913582414091089,True,0.8183078080000996,1.5124735673663845,2.0,19304.0
265,pair_265.npz,sagereg_regen,2000,0.9625,1.0609045044556935,0.0743315949627815,True,0.8037799629964866,1.418764837669112,3.0,14022.0
266,pair_266.npz,sagereg_regen,2000,0.8535,0.511540935729927,0.11309233360039,True,0.831037143998401,1.2361172233082327,6.0,15353.0
267,pair_267.npz,sagereg_regen,2000,0.6985,0.4794754964882065,0.3993773578196198,True,0.8102713379994384,1.389032798686434,1.0,16421.0
268,pair_268.npz,sagereg_regen,2000,0.837,0.1617278861666671,0.2849703626013891,True,0.8876344169984804,1.4775030657822132,5.0,16619.0
269,pair_269.npz,sagereg_regen,2000,0.953,0.3308458565396535,0.0622281136753159,True,0.9161523900002068,1.514174386740595,4.0,24558.0
270,pair_270.npz,sagereg_regen,2000,0.6665,0.0922152659351165,0.2747170878896461,True,0.9388296590004755,1.8437352743765136,6.0,25488.0
271,pair_271.npz,sagereg_regen,2000,0.7965,0.1539356956410723,0.2610348420772587,True,0.8488241449958878,1.3492589617482873,3.0,17416.0
272,pair_272.npz,sagereg_regen,2000,0.7285,0.117784435237968,0.3168432767271581,True,0.859570206997887,1.394236872523654,6.0,16754.0
273,pair_273.npz,sagereg_regen,2000,0.836,0.2888510577051073,0.1950351712893057,True,0.8008935270008806,1.1875293673321976,4.0,12198.0
274,pair_274.npz,sagereg_regen,2000,0.8485,0.3630925078104024,0.0545663214454482,True,0.80226115899859,1.2442733510673096,3.0,11798.0
275,pair_275.npz,sagereg_regen,2000,0.8305,0.1265207002224553,0.2717447220558022,True,0.8592146410010173,1.409365255762743,6.0,17534.0
276,pair_276.npz,sagereg_regen,2000,0.958,0.0881063640505713,0.0562363601997623,True,0.8705027270007122,1.4687131031717664,4.0,18452.0
277,pair_277.npz,sagereg_regen,2000,0.906,0.1825277547301905,0.1295036101148796,True,0.8214147839971702,1.6078287940982643,4.0,17129.0
278,pair_278.npz,sagereg_regen,2000,0.759,0.2063830936710328,0.3088203759844405,True,0.8350824890003423,1.3749756642503204,4.0,15840.0
279,pair_279.npz,sagereg_regen,2000,0.8235,0.319610621661353,0.1539470749404089,True,0.8338714089986752,1.182238550093303,6.0,15348.0
280,pair_280.npz,sagereg_regen,2000,0.768,0.7221973685973005,0.2997670927009436,True,0.8765297089994419,1.633046836418686,5.0,17950.0
281,pair_281.npz,sagereg_regen,2000,0.708,0.7789302917384402,0.1366316655983654,True,0.858464498000103,1.2634044062522702,5.0,17438.0
282,pair_282.npz,sagereg_regen,2000,0.365,0.3627514265111998,0.1203657130993097,True,0.8642132530003437,1.9411175849098383,4.0,26206.0
283,pair_283.npz,sagereg_regen,1634,0.0826193390452876,0.4390294336320773,0.1428761179524772,True,0.7189706050012319,1.6978093598328985,6.0,25552.0
284,pair_284.npz,sagereg_regen,2000,0.8685,0.2317132746806082,0.0479537000590322,True,0.8461591740051517,1.4755211851739491,4.0,21751.0
285,pair_285.npz,sagereg_regen,2000,0.9495,0.1485041504428324,0.1079280213995688,True,0.8892406680024578,1.828584436274426,5.0,20390.0
286,pair_286.npz,sagereg_regen,2000,0.8995,0.1839996035251254,0.1319720073426397,True,0.8598726930031262,1.7834833714885452,3.0,20741.0
287,pair_287.npz,sagereg_regen,2000,0.76,0.0611785466988971,0.3189578202509479,True,0.8612759940006072,1.7297453231604747,3.0,20691.0
288,pair_288.npz,sagereg_regen,2000,0.9285,0.0964154468150483,0.1322038617914421,True,0.8685260519996518,1.7733534815426817,3.0,20986.0
289,pair_289.npz,sagereg_regen,2000,0.875,0.0653549400013061,0.0429558693558604,True,0.8385140499995032,1.5407158064202089,1.0,19339.0
290,pair_290.npz,sagereg_regen,2000,0.9675,0.1541502835079135,0.0852551257447017,True,0.8590011259984749,1.782942809425589,5.0,20554.0
291,pair_291.npz,sagereg_regen,2000,0.667,0.1545210074877782,0.2174270705289914,True,1.0048291889979737,2.014194716790777,6.0,22532.0
292,pair_292.npz,sagereg_regen,2000,0.7685,0.275259534891564,0.1502250754698154,True,0.9349741240002912,2.04482791524264,6.0,24140.0
293,pair_293.npz,sagereg_regen,2000,0.9135,0.28056019403319,0.1735466794187319,True,0.9563441969985432,1.9281974483259512,6.0,27300.0
294,pair_294.npz,sagereg_regen,2000,0.909,0.4132942807250598,0.0451804350059656,True,0.9330784610028786,1.3265635337970036,6.0,25451.0
295,pair_295.npz,sagereg_regen,2000,0.7425,0.1620956254272565,0.2311849996758601,True,0.8718798990012147,1.5974960371832971,6.0,20210.0
296,pair_296.npz,sagereg_regen,2000,0.83,0.1840919146112529,0.2217146088117272,True,0.8487076169985812,1.3877994664516538,4.0,17276.0
